"user_id","listing_id","period_start","period_end"
124599.0,3473543.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558540.0,"2025-11-06 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558548.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
126243.0,3546873.0,"2025-10-26 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477537.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558064.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473938.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124596.0,3486358.0,"2025-09-28 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473998.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124196.0,3471454.0,"2025-09-02 00:00:00.000","2025-09-07 00:00:00.000"
124200.0,3548503.0,"2025-10-01 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3578734.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
126620.0,3531970.0,"2025-09-25 00:00:00.000","2025-11-29 00:00:00.000"
124599.0,3474417.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3557992.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
126794.0,3540259.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558916.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558911.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3579175.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558025.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124384.0,3533416.0,"2025-10-15 00:00:00.000","2025-12-05 00:00:00.000"
125539.0,3538106.0,"2025-09-26 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558781.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124384.0,3533946.0,"2025-10-15 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558640.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
125267.0,3530499.0,"2025-09-23 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558758.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
126863.0,3540796.0,"2025-10-24 00:00:00.000","2025-12-05 00:00:00.000"
